id,label,number_corners,length_width_ratio,ratio_of_areas,ratio_of_areas,solidity
1,Acer_platanoides,43,1.41716135996,0.411446603143,60.2150476426,0.502007098783
2,Acer_platanoides,45,1.63001240182,0.413749600199,84.7410799957,0.930402930403
3,Acer_platanoides,32,1.49565217391,0.40588903246,66.0908153543,1.0
4,Acer_platanoides,33,1.6788863109,0.405450000494,77.0350060764,0.934426229508
5,Acer_platanoides,39,1.48706707584,0.41012295082,79.2740983607,0.914285714286
6,Acer_platanoides,28,1.61773255814,0.405800423131,54.0016925247,0.495595846735
7,Acer_platanoides,39,1.47637195122,0.398505878347,50.8991568027,0.805825242718
8,Acer_platanoides,47,1.42456768038,0.411011094268,53.745529426,1.0
9,Acer_platanoides,44,1.41654571843,0.412497820148,70.3618671162,1.0
10,Acer_platanoides,37,1.7681678608,0.408783592485,76.4551930329,0.439399222174
11,Acer_platanoides,48,1.71742881795,0.404887502363,87.2372660238,1.0
12,Acer_platanoides,28,1.57571099154,0.405886894422,51.4775139934,0.97619047619
13,Acer_platanoides,19,1.71197007481,0.403839915837,86.8830403717,0.801020408163
14,Ilex_Aquifolium,24,1.65346534653,0.403736043516,19.3152018322,0.951738897806
15,Ilex_Aquifolium,16,1.66578249337,0.402214313958,18.7232898379,0.955859295974
16,Ilex_Aquifolium,29,1.63386727689,0.417621145374,21.1465943748,0.914710818949
17,Ilex_Aquifolium,30,1.68723404255,0.414010015879,22.762306095,1.0
18,Ilex_Aquifolium,34,1.5487804878,0.408062286255,18.9441897693,1.0
19,Ilex_Aquifolium,18,1.80487804878,0.405368298208,20.8278986751,0.951926539995
20,Ilex_Aquifolium,19,1.45623342175,0.409621380846,18.4385746102,0.948505841151
21,Ilex_Aquifolium,23,1.62820512821,0.405776118266,18.8714470776,1.0
22,Ilex_Aquifolium,18,1.54395604396,0.406658637302,17.5987611838,1.0
23,Ilex_Aquifolium,18,1.66046511628,0.413857677903,21.2942155639,0.946209381879
24,Ilex_Aquifolium,23,1.76072234763,0.412971457696,22.0145259939,0.932670899645
25,Ilex_Aquifolium,21,1.79743589744,0.410852158993,19.5446096654,0.927350798207
26,Ilex_Aquifolium,13,1.78167115903,0.408730464239,18.8798983755,0.946013761805
27,Ilex_Aquifolium,27,1.63865546218,0.408155790245,22.6652829498,1.0
28,Ilex_Aquifolium,21,1.67032967033,0.401955239557,17.8809081361,0.929565751889
29,Ilex_Aquifolium,27,1.46572580645,0.414361086089,23.2011324154,1.0
30,Acer_Circinatum,85,1.14933837429,0.40139914877,15.7346509466,1.0
31,Acer_Circinatum,71,1.12215320911,0.403462634232,14.3428665352,1.0
32,Acer_Circinatum,79,1.11729622266,0.404904690512,15.1363246948,1.0
33,Acer_Circinatum,80,1.10337972167,0.403346797461,14.6443371977,1.0
34,Acer_Circinatum,78,1.14906832298,0.405393649413,14.5750869943,1.0
35,Acer_Circinatum,75,1.0632183908,0.400143127332,14.8090783622,1.0
36,Acer_Circinatum,99,1.15705765408,0.404704014291,14.5261747631,1.0
37,Acer_Circinatum,65,1.12325581395,0.40039111784,13.1018168055,0.952380952381
38,Acer_Circinatum,87,1.18470149254,0.40195522811,16.0744309058,1.0
39,Acer_Circinatum,79,1.09003831418,0.405479021528,15.5580116285,1.0
40,Acer_Circinatum,66,1.06156716418,0.411900724526,15.6715482247,1.0
41,Acer_Circinatum,78,1.13306451613,0.403635975902,14.8612251426,1.0
42,Acer_Circinatum,83,1.15705765408,0.403318343929,15.131338192,1.0
43,Acer_Circinatum,74,1.17391304348,0.406059713219,16.1318503241,1.0
44,Acer_Circinatum,100,1.10393700787,0.413844497806,18.4290386685,1.0
45,Acer_Circinatum,70,1.14928425358,0.407532539463,15.2211575741,1.0
46,Olea_Europaea,6,2.71084337349,0.377428902329,9.612662463,0.979265532598
47,Olea_Europaea,6,2.62569832402,0.373731197261,10.2886144063,0.985758313058
48,Olea_Europaea,6,2.10344827586,0.388743112044,11.3724744162,0.981220031966
49,Olea_Europaea,6,2.6179245283,0.385606215498,12.0282150889,0.966632180902
50,Olea_Europaea,6,2.88268156425,0.374635895138,10.3477481515,0.97184800021
51,Olea_Europaea,6,2.67973856209,0.371464932127,8.87019230769,0.971192684984
52,Olea_Europaea,7,2.59677419355,0.375224847104,10.7732342007,0.971060550233
53,Olea_Europaea,7,2.52601156069,0.384391534392,10.0001322751,0.978785468046
54,Olea_Europaea,6,2.94578313253,0.373991457048,9.6314665401,0.978505392912
55,Olea_Europaea,6,2.62903225806,0.38259038259,10.6416286416,0.977321277032
56,Olea_Europaea,6,2.65921787709,0.375669751583,10.3755479786,0.971460530521
57,Olea_Europaea,5,1.88775510204,0.379560961139,10.7564520914,0.971752872888
58,Olea_Europaea,6,2.81005586592,0.382231404959,10.334825528,0.976563388289
59,Olea_Europaea,6,2.94578313253,0.372980734713,9.71329424435,0.975583482944
60,Olea_Europaea,6,2.8064516129,0.374072844016,10.7485885088,0.967993851646
61,Olea_Europaea,5,2.91194968553,0.375063227112,9.30918057663,0.974916582281
62,Liquidambar_Styraciflua,26,1.13982642237,0.415346196153,36.4400511342,1.0
63,Liquidambar_Styraciflua,19,1.34930643127,0.41366918904,29.3186137314,0.530183613004
64,Liquidambar_Styraciflua,13,1.17554479419,0.413790611109,28.9850746269,1.0
65,Liquidambar_Styraciflua,56,1.19979818365,0.417358239196,32.7041827417,0.527821434828
